арестовывать	арестовать
воздавать	воздать
воздавать	воздать
воздаваться	воздаться
воздаваться	воздаться
воздвигать	воздвигнуть
воздвигать	воздвигнуть
воздвигаться	воздвигнуться
воздвигаться	воздвигнуться
воздевать	воздеть
воздевать	воздеть
возделывать	возделать
возделывать	возделать
воздерживать	воздержать
воздерживать	воздержать
воздерживаться	воздержаться
воздерживаться	воздержаться
воздыхать	воздохнуть
воздыхать	воздохнуть
возжигать	возжечь
возжигать	возжечь
возжигаться	возжечься
возжигаться	возжечься
возлагать	возложить
возлагать	возложить
возлегать	возлечь
возлегать	возлечь
возливать	возлить
возливать	возлить
возмещать	возместить
возмещать	возместить
возмещаться	возместиться
возмещаться	возместиться
возмущать	возмутить
возмущать	возмутить
возмущаться	возмутиться
возмущаться	возмутиться
вознаграждать	вознаградить
вознаграждать	вознаградить
вознамериваться	вознамериться
вознамериваться	вознамериться
возникать	возникнуть
возникать	возникнуть
возносить	вознести
возносить	вознести
возноситься	вознестись
возноситься	вознестись
возобновлять	возобновить
возобновлять	возобновить
возобновляться	возобновиться
возобновляться	возобновиться
возражать	возразить
возражать	возразить
возрастать	возрасти
возрастать	возрасти
возрождать	возродить
возрождать	возродить
возрождаться	возродиться
возрождаться	возродиться
вонзать	вонзить
вонзать	вонзить
вонзаться	вонзиться
вонзаться	вонзиться
воображать	вообразить
воображать	вообразить
воображаться	вообразиться
воображаться	вообразиться
воодушевлять	воодушевить
воодушевлять	воодушевить
воодушевляться	воодушевиться
воодушевляться	воодушевиться
вооружать	вооружить
вооружать	вооружить
вооружаться	вооружиться
вооружаться	вооружиться
воплощать	воплотить
воплощать	воплотить
воплощаться	воплотиться
воплощаться	воплотиться
вопрошать	вопросить
вопрошать	вопросить
восклицать	воскликнуть
восклицать	воскликнуть
воскресать	воскреснуть
воскресать	воскреснуть
воскрешать	воскресить
воскрешать	воскресить
воскрылять	воскрылить
воскрылять	воскрылить
воскурять	воскурить
воскурять	воскурить
воспалять	воспалить
воспалять	воспалить
воспаляться	воспалиться
воспаляться	воспалиться
воспарять	воспарить
воспарять	воспарить
воспевать	воспеть
воспевать	воспеть
воспитывать	воспитать
воспитывать	воспитать
воспитываться	воспитаться
воспитываться	воспитаться
воспламенять	воспламенить
воспламенять	воспламенить
воспламеняться	воспламениться
воспламеняться	воспламениться
восполнять	восполнить
восполнять	восполнить
восполняться	восполниться
восполняться	восполниться
воспрещать	воспретить
воспрещать	воспретить
воспринимать	воспринять
воспринимать	воспринять
воспроизводить	воспроизвести
воспроизводить	воспроизвести
воспроизводиться	воспроизвестись
воспроизводиться	воспроизвестись
восседать	воссесть
восседать	воссесть
восславлять	восславить
восславлять	восславить
воссоединять	воссоединить
воссоединять	воссоединить
воссоединяться	воссоединиться
воссоединяться	воссоединиться
воссоздавать	воссоздать
воссоздавать	воссоздать
воссоздаваться	воссоздаться
воссоздаваться	воссоздаться
восставать	восстать
восставать	восстать
восставлять	восставить
восставлять	восставить
восстанавливать	восстановить
восстанавливать	восстановить
восстанавливаться	восстановиться
восстанавливаться	восстановиться
восхвалять	восхвалить
восхвалять	восхвалить
восхищать	восхитить
восхищать	восхитить
восхищать	восхитить
восхищать	восхитить
восхищаться	восхититься
восхищаться	восхититься
восходить	взойти
воцаряться	воцариться
воцаряться	воцариться
вочеловечивать	вочеловечить
вочеловечивать	вочеловечить
вочеловечиваться	вочеловечиться
вочеловечиваться	вочеловечиться
впадать	впасть
впадать	впасть
впаивать	впаять
впаивать	впаять
впархивать	впорхнуть
впархивать	впорхнуть
впекать	впечь
впекать	впечь
вперять	вперить
вперять	вперить
вперяться	впериться
вперяться	впериться
впечатывать	впечатать
впечатывать	впечатать
впивать	впить
впивать	впить
впиваться	впиться
впиваться	впиться
впирать	впереть
впирать	впереть
впираться	впереться
впираться	впереться
вписывать	вписать
вписывать	вписать
вписываться	вписаться
вписываться	вписаться
впитывать	впитать
впитывать	впитать
впитываться	впитаться
впитываться	впитаться
впихивать	впихать
впихивать	впихнуть
впихивать	впихнуть
впихиваться	впихаться
впихиваться	впихнуться
впихиваться	впихнуться
вплавлять	вплавить
вплавлять	вплавить
вплескивать	вплеснуть
вплескивать	вплеснуть
вплетать	вплести
вплетать	вплести
вплетаться	вплестись
вплетаться	вплестись
вплывать	вплыть
вплывать	вплыть
вползать	вползти
вползать	вползти
вправлять	вправить
вправлять	вправить
вправляться	вправиться
вправляться	вправиться
впрессовывать	впрессовать
впрессовывать	впрессовать
впрыгивать	впрыгнуть
впрыгивать	впрыгнуть
впрыскивать	впрыснуть
впрыскивать	впрыснуть
впрягать	впрячь
впрягать	впрячь
впрягаться	впрячься
впрягаться	впрячься
впрядать	впрясть
впрядать	впрясть
впускать	впустить
впускать	впустить
впутывать	впутать
впутывать	впутать
впутываться	впутаться
впутываться	впутаться
впяливать	впялить
впяливать	впялить
впяливаться	впялиться
впяливаться	впялиться
впячивать	впятить
впячивать	впятить
впячиваться	впятиться
впячиваться	впятиться
врабатываться	вработаться
врабатываться	вработаться
вразумлять	вразумить
вразумлять	вразумить
врастать	врасти
врастать	врасти
врезать	врезать
врезать	врезать
врезаться	врезаться
врезаться	врезаться
врезывать	врезать
врезываться	врезаться
врубать	врубить
врубать	врубить
врубаться	врубиться
врубаться	врубиться
вручать	вручить
вручать	вручить
врывать	врыть
врывать	врыть
врываться	ворваться
врываться	ворваться
врываться	врыться
врываться	врыться
всаживать	всадить
всаживать	всадить
всасывать	всосать
всасывать	всосать
всасываться	всосаться
всасываться	всосаться
всевать	всеять
всевать	всеять
вселять	вселить
вселять	вселить
вселяться	вселиться
вселяться	вселиться
вскакивать	вскакать
вскакивать	вскакать
вскакивать	вскочить
вскакивать	вскочить
вскальзывать	вскользнуть
вскальзывать	вскользнуть
вскапывать	вскопать
вскапывать	вскопать
вскарабкиваться	вскарабкаться
вскарабкиваться	вскарабкаться
вскармливать	вскормить
вскармливать	вскормить
вскатывать	вскатить
вскатывать	вскатить
вскидывать	вскинуть
вскидывать	вскинуть
вскидываться	вскинуться
вскидываться	вскинуться
вскипать	вскипеть
вскипать	вскипеть
вскисать	вскиснуть
вскисать	вскиснуть
всклокочивать	всклокочить
всклокочивать	всклокочить
всклокочиваться	всклокочиться
всклокочиваться	всклокочиться
всклочивать	всклочить
всклочивать	всклочить
всклочиваться	всклочиться
всклочиваться	всклочиться
всколупывать	всколупнуть
всколупывать	всколупнуть
всколыхивать	всколыхать
всколыхивать	всколыхнуть
всколыхивать	всколыхнуть
всколыхиваться	всколыхаться
всколыхиваться	всколыхнуться
всколыхиваться	всколыхнуться
вскосмачивать	вскосматить
вскосмачивать	вскосматить
вскрикивать	вскрикнуть
вскрикивать	вскрикнуть
вскрывать	вскрыть
вскрывать	вскрыть
вскрываться	вскрыться
вскрываться	вскрыться
вскрякивать	вскрякнуть
вскрякивать	вскрякнуть
вслушиваться	вслушаться
вслушиваться	вслушаться
всматриваться	всмотреться
всматриваться	всмотреться
всобачивать	всобачить
всобачивать	всобачить
всовывать	всовать
всовывать	всунуть
всовывать	всунуть
всовываться	всунуться
вспаивать	вспоить
вспаивать	вспоить
вспаривать	вспарить
вспаривать	вспарить
вспархивать	вспорхнуть
вспархивать	вспорхнуть
вспарывать	вспороть
вспарывать	вспороть
вспахивать	вспахать
вспахивать	вспахать
вспенивать	вспенить
вспенивать	вспенить
вспениваться	вспениться
вспениваться	вспениться
всплескивать	всплеснуть
всплескивать	всплеснуть
всплескиваться	всплеснуться
всплескиваться	всплеснуться
всплывать	всплыть
всплывать	всплыть
всполаскивать	всполоснуть
всполаскивать	всполоснуть
всползать	всползти
всползать	всползти
вспоминать	вспомнить
вспоминать	вспомнить
вспоминать	вспомнить
вспоминать	вспомянуть
вспоминаться	вспомниться
вспоминаться	вспомниться
вспрыгивать	вспрыгнуть
вспрыгивать	вспрыгнуть
вспрыскивать	вспрыснуть
вспрыскивать	вспрыснуть
вспугивать	вспугнуть
вспугивать	вспугнуть
вспузыриваться	вспузыриться
вспузыриваться	вспузыриться
вспузыриваться	вспузыриться
вспухать	вспухнуть
вспухать	вспухнуть
вспучивать	вспучить
вспучивать	вспучить
вспучиваться	вспучиться
вспучиваться	вспучиться
вспыхивать	вспыхнуть
вспыхивать	вспыхнуть
вставать	встать
вставать	встать
вставлять	вставить
вставлять	вставить
вставляться	вставиться
вставляться	вставиться
встаскивать	встащить
встаскивать	встащить
встаскиваться	встащиться
встаскиваться	встащиться
встопорщивать	встопорщить
встопорщивать	встопорщить
встопорщиваться	встопорщиться
встопорщиваться	встопорщиться
встраивать	встроить
встраивать	встроить
встраиваться	встроиться
встраиваться	встроиться
встревать	встрять
встревать	встрять
встрепывать	встрепать
встрепывать	встрепать
встречать	встретить
встречать	встретить
встречаться	встретиться
встречаться	встретиться
встряхивать	встряхнуть
встряхивать	встряхнуть
встряхиваться	встряхнуться
встряхиваться	встряхнуться
вступать	вступить
вступать	вступить
вступаться	вступиться
вступаться	вступиться
всучивать	всучить
всучивать	всучить
всхлипывать	всхлипнуть
всхлипывать	всхлипнуть
всходить	взойти
всходить	взойти
всхохлачивать	всхохлатить
всхохлачивать	всхохлатить
всыпать	всыпать
всыпать	всыпать
вталкивать	втолкать
вталкивать	втолкнуть
вталкивать	втолкнуть
вталкиваться	втолкаться
вталкиваться	втолкнуться
вталкиваться	втолкнуться
втаптывать	втоптать
втаптывать	втоптать
втаскивать	втаскать
втаскивать	втащить
втаскивать	втащить
втаскиваться	втащиться
втаскиваться	втащиться
втасовывать	втасовать
втасовывать	втасовать
втачивать	втачать
втачивать	втачать
втекать	втечь
втекать	втечь
втемяшивать	втемяшить
втемяшивать	втемяшить
втемяшиваться	втемяшиться
втемяшиваться	втемяшиться
втеснять	втеснить
втеснять	втеснить
втесываться	втесаться
втесываться	втесаться
втирать	втереть
втирать	втереть
втираться	втереться
втираться	втереться
втискивать	втискать
втискивать	втиснуть
втискивать	втиснуть
втискиваться	втискаться
втискиваться	втиснуться
втискиваться	втиснуться
втолковывать	втолковать
втолковывать	втолковать
вторачивать	второчить
вторачивать	второчить
вторгаться	вторгнуться
вторгаться	вторгнуться
втравливать	втравить
втравливать	втравить
втравливаться	втравиться
втравливаться	втравиться
втравлять	втравить
втравляться	втравиться
втрамбовывать	втрамбовать
втрамбовывать	втрамбовать
втыкать	воткнуть
втыкать	воткнуть
втыкаться	воткнуться
втыкаться	воткнуться
втягивать	втянуть
втягивать	втянуть
втягиваться	втянуться
втягиваться	втянуться
втяпываться	втяпаться
втяпываться	втяпаться
входить	войти
входить	войти
вцеживать	вцедить
вцеживать	вцедить
вцепляться	вцепиться
вцепляться	вцепиться
вчерчивать	вчертить
вчерчивать	вчертить
вчинять	вчинить
вчинять	вчинить
вчитываться	вчитаться
вчитываться	вчитаться
вшибать	вшибить
вшибать	вшибить
вшивать	вшить
вшивать	вшить
въедаться	въесться
въедаться	въесться
въезжать	въехать
въезжать	въехать
выбалтывать	выболтать
выбалтывать	выболтнуть
выбалтывать	выболтнуть
выбалтываться	выболтаться
выбалтываться	выболтаться
выбегать	выбежать
выбегать	выбежать
выбеливать	выбелить
выбеливать	выбелить
выбеливаться	выбелиться
выбеливаться	выбелиться
выбивать	выбить
выбивать	выбить
выбиваться	выбиться
выбиваться	выбиться
выбирать	выбрать
выбирать	выбрать
выбираться	выбраться
выбираться	выбраться
выблевывать	выблевать
выблевывать	выблевнуть
выблевывать	выблевнуть
выблевываться	выблеваться
выблевываться	выблеваться
выбраковывать	выбраковать
выбраковывать	выбраковать
выбрасывать	выбросать
выбрасывать	выбросить
выбрасывать	выбросить
выбрасывать	выбросить
выбрасываться	выброситься
выбрасываться	выброситься
выбредать	выбрести
выбредать	выбрести
выбривать	выбрить
выбривать	выбрить
выбриваться	выбриться
выбриваться	выбриться
выбрызгивать	выбрызгать
выбрызгивать	выбрызнуть
выбрызгивать	выбрызнуть
выбуравливать	выбуравить
выбуравливать	выбуравить
выбуривать	выбурить
выбуривать	выбурить
выбухивать	выбухать
выбухивать	выбухнуть
выбухивать	выбухнуть
выбучивать	выбутить
выбучивать	выбутить
выбучивать	выбучить
выбучивать	выбучить
выбывать	выбыть
выбывать	выбыть
вываживать	выводить
вываживать	выводить
вываливать	вывалить
вываливать	вывалить
вываливать	вывалять
вываливать	вывалять
вываливаться	вывалиться
вываливаться	вывалиться
вываливаться	вываляться
вываливаться	вываляться
вываривать	выварить
вываривать	выварить
вывариваться	вывариться
вывариваться	вывариться
выващивать	вывощить
выващивать	вывощить
выведривать	выведрить
выведривать	выведрить
выведывать	выведать
выведывать	выведать
вывеивать	вывеять
вывеивать	вывеять
вывеиваться	вывеяться
вывеиваться	вывеяться
вывертывать	вывернуть
вывертывать	вывернуть
вывертывать	вывернуть
вывертывать	вывернуть
вывертываться	вывернуться
вывертываться	вывернуться
вывертываться	вывернуться
выверчивать	вывертеть
выверчивать	вывертеть
вывершивать	вывершить
вывершивать	вывершить
выверять	выверить
выверять	выверить
выветривать	выветрить
выветривать	выветрить
выветриваться	выветриться
выветриваться	выветриться
вывешивать	вывесить
вывешивать	вывесить
вывешивать	вывешить
вывешивать	вывешить
вывивать	вывить
вывивать	вывить
вывинчивать	вывинтить
вывинчивать	вывинтить
вывинчиваться	вывинтиться
вывинчиваться	вывинтиться
вывихивать	вывихнуть
вывихивать	вывихнуть
выводить	вывести
выводить	вывести
выводиться	вывестись
выводиться	вывестись
вывозить	вывезти
вывозить	вывезти
выволакивать	выволочить
выволакивать	выволочь
выволакивать	выволочь
выворачивать	вывернуть
выворачивать	вывернуть
выворачивать	выворотить
выворачивать	выворотить
выворачиваться	вывернуться
выворачиваться	вывернуться
выворачиваться	выворотиться
